Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 07, 2021","4,229.34","4,232.34","4,215.66","4,226.52","4,226.52","3,835,570,000"
"Jun 04, 2021","4,206.05","4,233.45","4,206.05","4,229.89","4,229.89","3,487,070,000"
"Jun 03, 2021","4,191.43","4,204.39","4,167.93","4,192.85","4,192.85","4,579,450,000"
"Jun 02, 2021","4,206.82","4,217.37","4,198.27","4,208.12","4,208.12","4,860,930,000"
"Jun 01, 2021","4,216.52","4,234.12","4,197.59","4,202.04","4,202.04","4,122,960,000"
"May 28, 2021","4,210.77","4,218.36","4,203.57","4,204.11","4,204.11","4,199,270,000"
"May 27, 2021","4,201.94","4,213.38","4,197.78","4,200.88","4,200.88","5,201,110,000"
"May 26, 2021","4,191.59","4,202.61","4,184.11","4,195.99","4,195.99","3,674,490,000"
"May 25, 2021","4,205.94","4,213.42","4,182.52","4,188.13","4,188.13","3,420,870,000"
"May 24, 2021","4,170.16","4,209.52","4,170.16","4,197.05","4,197.05","2,947,400,000"
"May 21, 2021","4,168.61","4,188.72","4,151.72","4,155.86","4,155.86","3,344,620,000"
"May 20, 2021","4,121.97","4,172.80","4,121.97","4,159.12","4,159.12","3,019,060,000"
"May 19, 2021","4,098.45","4,116.93","4,061.41","4,115.68","4,115.68","3,485,550,000"
"May 18, 2021","4,165.94","4,169.15","4,125.99","4,127.83","4,127.83","3,559,790,000"
"May 17, 2021","4,169.92","4,171.92","4,142.69","4,163.29","4,163.29","3,307,130,000"
"May 14, 2021","4,129.58","4,183.13","4,129.58","4,173.85","4,173.85","3,251,920,000"
"May 13, 2021","4,074.99","4,131.58","4,074.99","4,112.50","4,112.50","3,687,780,000"
"May 12, 2021","4,130.55","4,134.73","4,056.88","4,063.04","4,063.04","3,735,080,000"
"May 11, 2021","4,150.34","4,162.04","4,111.53","4,152.10","4,152.10","3,593,110,000"
"May 10, 2021","4,228.29","4,236.39","4,188.13","4,188.43","4,188.43","3,678,970,000"
"May 07, 2021","4,210.34","4,238.04","4,201.64","4,232.60","4,232.60","4,013,060,000"
"May 06, 2021","4,169.14","4,202.70","4,147.33","4,201.62","4,201.62","4,504,860,000"
"May 05, 2021","4,177.06","4,187.72","4,160.94","4,167.59","4,167.59","4,029,050,000"
"May 04, 2021","4,179.04","4,179.04","4,128.59","4,164.66","4,164.66","4,441,080,000"
"May 03, 2021","4,191.98","4,209.39","4,188.03","4,192.66","4,192.66","4,061,170,000"
"Apr 30, 2021","4,198.10","4,198.10","4,174.85","4,181.17","4,181.17","4,273,680,000"
"Apr 29, 2021","4,206.14","4,218.78","4,176.81","4,211.47","4,211.47","4,288,940,000"
"Apr 28, 2021","4,185.14","4,201.53","4,181.78","4,183.18","4,183.18","3,772,390,000"
"Apr 27, 2021","4,188.25","4,193.35","4,176.22","4,186.72","4,186.72","3,703,240,000"
"Apr 26, 2021","4,185.03","4,194.19","4,182.36","4,187.62","4,187.62","3,738,920,000"
"Apr 23, 2021","4,138.78","4,194.17","4,138.78","4,180.17","4,180.17","3,568,080,000"
"Apr 22, 2021","4,170.46","4,179.57","4,123.69","4,134.98","4,134.98","4,235,040,000"
"Apr 21, 2021","4,128.42","4,175.02","4,126.35","4,173.42","4,173.42","3,865,820,000"
"Apr 20, 2021","4,159.18","4,159.18","4,118.38","4,134.94","4,134.94","4,338,230,000"
"Apr 19, 2021","4,179.80","4,180.81","4,150.47","4,163.26","4,163.26","3,788,020,000"
"Apr 16, 2021","4,174.14","4,191.31","4,170.75","4,185.47","4,185.47","4,157,430,000"
"Apr 15, 2021","4,139.76","4,173.49","4,139.76","4,170.42","4,170.42","4,027,680,000"
"Apr 14, 2021","4,141.58","4,151.69","4,120.87","4,124.66","4,124.66","3,976,540,000"
"Apr 13, 2021","4,130.10","4,148.00","4,124.43","4,141.59","4,141.59","3,728,440,000"
"Apr 12, 2021","4,124.71","4,131.76","4,114.82","4,127.99","4,127.99","3,578,500,000"
"Apr 09, 2021","4,096.11","4,129.48","4,095.51","4,128.80","4,128.80","3,634,910,000"
"Apr 08, 2021","4,089.95","4,098.19","4,082.54","4,097.17","4,097.17","3,901,910,000"
"Apr 07, 2021","4,074.29","4,083.13","4,068.31","4,079.95","4,079.95","4,112,640,000"
"Apr 06, 2021","4,075.57","4,086.23","4,068.14","4,073.94","4,073.94","4,027,880,000"
"Apr 05, 2021","4,034.44","4,083.42","4,034.44","4,077.91","4,077.91","3,999,760,000"
"Apr 01, 2021","3,992.78","4,020.63","3,992.78","4,019.87","4,019.87","4,151,240,000"
"Mar 31, 2021","3,967.25","3,994.41","3,966.98","3,972.89","3,972.89","4,564,980,000"
"Mar 30, 2021","3,963.34","3,968.01","3,944.35","3,958.55","3,958.55","4,103,570,000"
"Mar 29, 2021","3,969.31","3,981.83","3,943.25","3,971.09","3,971.09","4,619,840,000"
"Mar 26, 2021","3,917.12","3,978.19","3,917.12","3,974.54","3,974.54","5,467,850,000"
"Mar 25, 2021","3,879.34","3,919.54","3,853.50","3,909.52","3,909.52","4,940,800,000"
"Mar 24, 2021","3,919.93","3,942.08","3,889.07","3,889.14","3,889.14","4,766,990,000"
"Mar 23, 2021","3,937.60","3,949.13","3,901.57","3,910.52","3,910.52","4,645,340,000"
"Mar 22, 2021","3,916.48","3,955.31","3,914.16","3,940.59","3,940.59","4,311,380,000"
"Mar 19, 2021","3,913.14","3,930.12","3,886.75","3,913.10","3,913.10","7,725,050,000"
"Mar 18, 2021","3,953.50","3,969.62","3,910.86","3,915.46","3,915.46","4,043,170,000"
"Mar 17, 2021","3,949.57","3,983.87","3,935.74","3,974.12","3,974.12","4,541,620,000"
"Mar 16, 2021","3,973.59","3,981.04","3,953.44","3,962.71","3,962.71","4,604,870,000"
"Mar 15, 2021","3,942.96","3,970.08","3,923.54","3,968.94","3,968.94","4,882,190,000"
"Mar 12, 2021","3,924.52","3,944.99","3,915.21","3,943.34","3,943.34","4,469,240,000"
"Mar 11, 2021","3,915.54","3,960.27","3,915.54","3,939.34","3,939.34","5,300,010,000"
"Mar 10, 2021","3,891.99","3,917.35","3,885.73","3,898.81","3,898.81","5,827,250,000"
"Mar 09, 2021","3,851.93","3,903.76","3,851.93","3,875.44","3,875.44","5,496,340,000"
"Mar 08, 2021","3,844.39","3,881.06","3,819.25","3,821.35","3,821.35","5,852,240,000"
"Mar 05, 2021","3,793.58","3,851.69","3,730.19","3,841.94","3,841.94","6,842,570,000"
"Mar 04, 2021","3,818.53","3,843.67","3,723.34","3,768.47","3,768.47","7,142,240,000"
"Mar 03, 2021","3,863.99","3,874.47","3,818.86","3,819.72","3,819.72","6,150,790,000"
"Mar 02, 2021","3,903.64","3,906.41","3,868.57","3,870.29","3,870.29","5,493,690,000"
"Mar 01, 2021","3,842.51","3,914.50","3,842.51","3,901.82","3,901.82","5,071,540,000"
"Feb 26, 2021","3,839.66","3,861.08","3,789.54","3,811.15","3,811.15","6,512,950,000"
"Feb 25, 2021","3,915.80","3,925.02","3,814.04","3,829.34","3,829.34","6,513,060,000"
"Feb 24, 2021","3,873.71","3,928.65","3,859.60","3,925.43","3,925.43","5,942,350,000"
"Feb 23, 2021","3,857.07","3,895.98","3,805.59","3,881.37","3,881.37","6,280,650,000"
"Feb 22, 2021","3,885.55","3,902.92","3,874.71","3,876.50","3,876.50","5,870,190,000"
"Feb 19, 2021","3,921.16","3,930.41","3,903.07","3,906.71","3,906.71","4,823,940,000"
"Feb 18, 2021","3,915.86","3,921.98","3,885.03","3,913.97","3,913.97","4,773,430,000"
"Feb 17, 2021","3,918.50","3,933.61","3,900.43","3,931.33","3,931.33","4,718,280,000"
"Feb 16, 2021","3,939.61","3,950.43","3,923.85","3,932.59","3,932.59","5,037,360,000"
"Feb 12, 2021","3,911.65","3,937.23","3,905.78","3,934.83","3,934.83","4,119,260,000"
"Feb 11, 2021","3,916.40","3,925.99","3,890.39","3,916.38","3,916.38","4,570,080,000"
"Feb 10, 2021","3,920.78","3,931.50","3,884.94","3,909.88","3,909.88","4,815,380,000"
"Feb 09, 2021","3,910.49","3,918.35","3,902.64","3,911.23","3,911.23","4,554,610,000"
"Feb 08, 2021","3,892.59","3,915.77","3,892.59","3,915.59","3,915.59","4,635,030,000"
"Feb 05, 2021","3,878.30","3,894.56","3,874.93","3,886.83","3,886.83","4,838,580,000"
"Feb 04, 2021","3,836.66","3,872.42","3,836.66","3,871.74","3,871.74","4,856,670,000"
"Feb 03, 2021","3,840.27","3,847.51","3,816.68","3,830.17","3,830.17","4,846,900,000"
